StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken
9633.0,Dawn Taylor,Female,85.0,25.0,60.0,3.0,High,79.58384948935465,1.0,63.0,True
3016.0,James Stevens,Male,82.0,17.0,85.0,1.0,High,79.89459379252038,3.8,88.0,True
6384.0,Tina Velazquez,Female,,22.0,82.0,2.0,Medium,81.02482039744979,0.9,75.0,False
1979.0,Tammy Fuentes,Female,78.0,12.0,85.0,0.0,Medium,81.26470926158319,,85.0,False
1971.0,Michael Gomez,Female,78.0,10.0,90.0,0.0,Low,80.86501461537277,4.1,98.0,False
1474.0,Alison Lang,Male,95.0,15.0,82.0,1.0,Medium,79.93466129453967,0.7,83.0,False
7859.0,David Ruiz,Male,88.0,8.0,88.0,2.0,Medium,80.0991492743309,0.7,88.0,False
7676.0,Kimberly Calderon,Male,85.0,18.0,70.0,3.0,Low,80.23575613532196,1.2,85.0,True
4014.0,Kristin Macias,Female,85.0,17.0,65.0,0.0,High,79.82155951713374,0.2,98.0,True
5660.0,Caitlyn Green,Male,82.0,10.0,82.0,1.0,Medium,80.45681105364164,,70.0,True
,Joshua Robertson,Female,85.0,15.0,65.0,0.0,Low,80.59397523717567,3.8,84.0,True
3461.0,Alex Douglas,Female,91.0,18.0,88.0,2.0,Medium,80.70850169585582,3.3,66.0,True
6533.0,Mario Johnston,Male,91.0,17.0,88.0,1.0,High,79.04149441301544,3.1,79.0,True
9069.0,Michael Webster,Male,91.0,25.0,82.0,3.0,High,79.46110482634944,0.1,90.0,True
1517.0,Andrew Dudley,Female,90.0,8.0,77.0,1.0,Medium,79.70781598471406,2.3,52.0,True
2262.0,Thomas Barnes,Female,85.0,12.0,88.0,1.0,Medium,79.99888323453186,0.8,60.0,False
8790.0,William Wade,Female,85.0,20.0,82.0,2.0,Low,80.10272754277817,0.9,70.0,True
6167.0,Candace Kelly,Female,91.0,18.0,77.0,0.0,,78.04047223949824,2.0,98.0,True
8272.0,Anthony Wright,Female,78.0,20.0,86.0,1.0,High,79.26031314473661,0.2,64.0,False
6820.0,Terry Hernandez,Male,82.0,18.0,65.0,2.0,Low,80.35126630864987,3.5,78.0,False
1359.0,Andrea Fuller,Male,90.0,30.0,78.0,0.0,Low,80.92835803408603,3.9,89.0,True
8461.0,Kimberly Wood,Female,91.0,25.0,60.0,1.0,Medium,81.54173255520351,0.7,94.0,True
4013.0,Heather Gamble,,70.0,25.0,60.0,1.0,Medium,80.14526036451078,1.4,61.0,True
5480.0,Travis Schultz,Female,92.0,17.0,82.0,0.0,High,79.36610706413063,0.8,95.0,True
2476.0,Jennifer Baker,Female,95.0,8.0,65.0,3.0,High,78.66569027905403,4.4,73.0,False
1119.0,Jonathan Daniel,Female,,30.0,90.0,2.0,Low,80.72808835235855,0.2,78.0,True
5914.0,Sarah Norris,Male,85.0,20.0,60.0,0.0,Medium,81.39781227758058,2.4,90.0,True
1138.0,Andrea Newman,,88.0,22.0,82.0,2.0,Medium,79.65884483212844,4.3,79.0,False
3390.0,Donna Shaw,Male,78.0,8.0,82.0,0.0,Medium,80.6406104806632,3.9,73.0,False
6942.0,Brent Burns,Male,95.0,12.0,88.0,1.0,Medium,79.08012219198623,0.9,57.0,False
5150.0,Jessica Fuller,Female,88.0,25.0,88.0,1.0,Low,80.40209270756927,4.9,65.0,False
,Matthew Winters,Male,78.0,30.0,60.0,0.0,Medium,81.82160126764789,2.8,75.0,False
5249.0,Ms. Heather Dean,Female,85.0,22.0,85.0,0.0,High,78.77905271101676,0.4,57.0,False
2685.0,Elizabeth Curry,Male,92.0,12.0,,1.0,High,78.0243650933827,0.2,73.0,False
6664.0,Robin Spears,Female,78.0,12.0,86.0,1.0,High,79.57753612436412,2.5,80.0,False
8786.0,Brandy Wilson,Male,78.0,12.0,77.0,1.0,Low,80.24482742970191,0.7,96.0,False
9148.0,John Coleman,Female,88.0,8.0,60.0,0.0,Low,79.9947528618466,2.9,86.0,True
4773.0,John Fox,Female,95.0,20.0,77.0,1.0,Medium,81.0577004724136,3.0,91.0,False
3283.0,Megan Hutchinson,Female,85.0,10.0,70.0,0.0,High,78.76518499666173,4.1,53.0,True
7303.0,Joanna Martinez,Female,92.0,10.0,60.0,3.0,High,79.47384163643059,2.5,96.0,True
1821.0,Alexandra Harrington,Female,82.0,12.0,65.0,1.0,Low,79.9103436262588,4.3,54.0,True
1612.0,Belinda Kim,Female,70.0,22.0,70.0,0.0,Medium,82.67107738970726,3.5,87.0,True
2468.0,Douglas Ingram,Female,82.0,20.0,86.0,3.0,Medium,81.02610408076575,0.1,76.0,False
4510.0,Daniel Erickson,Male,91.0,22.0,77.0,3.0,Medium,79.9655100552977,1.0,56.0,False
9214.0,Judith Santos,Male,85.0,17.0,85.0,,Low,79.6167997790992,2.5,61.0,True
9482.0,Eileen Lee,Male,90.0,20.0,70.0,2.0,Low,79.98709962561533,4.6,72.0,False
,Martin Mcknight,Male,95.0,20.0,65.0,2.0,Medium,79.95994340437746,0.6,64.0,True
5017.0,Jennifer Morgan,Female,90.0,12.0,86.0,2.0,Low,80.25381687665617,4.5,84.0,True
7113.0,Ryan Ball,Female,85.0,18.0,86.0,2.0,Medium,80.88557082150392,5.0,57.0,False
6640.0,Samuel Shaw,Male,88.0,20.0,82.0,1.0,Medium,80.85376890281795,0.8,86.0,True
4046.0,Joseph Roberts,Male,88.0,18.0,65.0,1.0,Low,79.30481648734501,1.2,59.0,True
7813.0,Mrs. Kathy Woodward,Female,82.0,25.0,90.0,3.0,High,80.49044389837293,2.2,95.0,False
1887.0,Zachary Daniel,Female,85.0,12.0,78.0,2.0,Medium,81.78172251210303,4.3,99.0,True
3090.0,Kirsten Davis,Female,85.0,12.0,,0.0,High,79.27402220426256,2.8,,True
3281.0,Samantha Mendoza,Female,91.0,,65.0,2.0,Medium,79.93981067615326,0.8,53.0,False
6339.0,Melissa Aguirre,Female,88.0,8.0,88.0,2.0,Low,79.22814327515947,3.0,84.0,
7939.0,Jack Simmons,Female,90.0,12.0,70.0,3.0,High,78.26150408073902,0.4,55.0,True
6967.0,Michael Cooley,Female,90.0,30.0,86.0,1.0,Low,80.49428556298864,3.6,69.0,False
2975.0,Sandra Hart,Female,85.0,8.0,82.0,3.0,High,79.16335236144597,3.3,73.0,True
2324.0,Michael Gonzales,Female,95.0,10.0,88.0,1.0,High,79.00364265358549,1.4,98.0,True
2670.0,Bernard Whitaker,Male,70.0,8.0,65.0,1.0,High,79.5891446791949,4.9,61.0,True
7163.0,Patricia Greer,Female,85.0,30.0,,1.0,Medium,82.30930178181086,3.9,86.0,True
4365.0,Ashley Jordan,Male,78.0,30.0,78.0,2.0,High,80.42971078271054,4.7,72.0,False
4772.0,Felicia Carpenter,Female,,25.0,90.0,,Low,80.88334318448734,4.0,74.0,True
2035.0,Robert Lowery,Female,88.0,8.0,85.0,0.0,High,78.8128089030882,1.5,81.0,True
5519.0,Aimee Christensen,Female,,25.0,82.0,2.0,Medium,81.2367951810591,3.9,55.0,True
3804.0,John Bender,Female,92.0,18.0,86.0,0.0,Low,80.43270172674973,4.5,86.0,True
1456.0,Andrea Phillips,Female,70.0,15.0,86.0,1.0,Medium,81.09776422415806,0.5,65.0,False
6185.0,Lynn Jennings,,70.0,22.0,60.0,1.0,Low,80.49281048188627,3.8,99.0,True
4425.0,Kelly Baker,Male,90.0,22.0,70.0,2.0,Medium,81.56824338227099,4.7,95.0,False
1769.0,Cameron Austin,Female,,12.0,77.0,1.0,High,78.50777943507822,1.0,55.0,True
5778.0,Christopher Collins,Female,95.0,8.0,88.0,1.0,Medium,79.49749132409849,1.2,62.0,True
5216.0,Cassandra Ryan,Male,90.0,18.0,78.0,0.0,Medium,80.76436909047233,5.0,,False
4626.0,Mike Waters,Male,92.0,18.0,60.0,2.0,High,78.53771929386974,2.4,58.0,True
2273.0,Mary Jones,Male,85.0,8.0,78.0,3.0,High,79.01323392692156,,82.0,True
3979.0,Jonathan Mann,Female,78.0,,77.0,3.0,Low,79.93598932948177,1.1,,
2741.0,Kendra Ramirez,Male,78.0,17.0,65.0,0.0,High,79.3608484952157,3.1,62.0,True
3185.0,Travis Harrell,Male,91.0,8.0,65.0,1.0,Medium,79.32390901130219,0.0,61.0,True
4010.0,Jodi Rogers,Female,78.0,15.0,60.0,3.0,Low,80.05248102289204,1.6,55.0,True
2776.0,Raven Taylor,Male,90.0,30.0,86.0,1.0,High,79.7052403798729,1.4,84.0,True
3545.0,Daniel Mendez,Female,70.0,22.0,85.0,2.0,Low,81.28057543693254,3.6,65.0,True
6340.0,Keith Wilson,Female,92.0,30.0,90.0,2.0,Medium,81.56808754107963,0.5,97.0,False
3938.0,Thomas Yoder,Female,,12.0,77.0,1.0,Medium,80.9238378244916,0.4,95.0,False
8237.0,Melissa Morris,Male,70.0,17.0,70.0,1.0,High,79.57966322232976,4.0,54.0,False
5105.0,Andrew Jimenez,Female,85.0,17.0,65.0,1.0,High,79.74964933769967,1.3,94.0,False
9052.0,Jesse Barber,Male,95.0,,65.0,0.0,High,78.36355837753239,1.6,66.0,True
5444.0,Patrick Thompson,Male,91.0,30.0,85.0,2.0,Low,80.3509360083379,0.9,83.0,True
8848.0,Danielle Scott,Female,78.0,8.0,88.0,2.0,Low,81.16823145730586,4.8,100.0,True
3551.0,Pamela Woods,,85.0,15.0,70.0,0.0,Medium,78.35053798322642,2.3,50.0,False
6931.0,Sarah Ross,Male,85.0,12.0,90.0,3.0,High,79.28177181440046,1.5,91.0,True
7056.0,Kimberly Smith,Male,92.0,,,1.0,Medium,80.63941071391217,1.9,84.0,True
4845.0,Kevin Reynolds,Male,82.0,15.0,,1.0,Medium,80.62959552324764,3.4,61.0,True
9311.0,Joseph Davis,Female,91.0,18.0,,1.0,Medium,80.82310282033322,3.4,76.0,False
3550.0,Colleen Sanchez,Female,92.0,8.0,88.0,0.0,Medium,80.25789935895543,2.5,79.0,True
3630.0,Lonnie Williams,Male,82.0,22.0,85.0,2.0,Low,80.9788176664572,2.6,95.0,True
8472.0,Cheryl Brown,Male,88.0,8.0,65.0,2.0,High,78.5374545863945,3.1,67.0,True
6517.0,Melvin Mcgee,Male,91.0,8.0,65.0,0.0,High,78.05742857563162,4.0,60.0,False
5285.0,Ms. Marissa Ramirez,Female,92.0,15.0,85.0,1.0,,77.24225874545405,2.0,82.0,False
9741.0,Erica Miller,Male,85.0,10.0,90.0,0.0,Low,80.23591501064747,4.5,98.0,False
8077.0,Martha Moody,Male,91.0,12.0,88.0,1.0,Low,80.03789392958919,4.9,95.0,False
7785.0,Brent Mendoza,Female,92.0,12.0,85.0,1.0,Medium,80.58782737610981,1.4,93.0,False
7440.0,Samantha Novak,Female,95.0,17.0,78.0,0.0,Medium,80.28148440238658,4.5,62.0,False
4824.0,Maria Carter,Female,91.0,25.0,60.0,2.0,Low,80.37103172612726,3.2,67.0,True
5990.0,Lisa Brooks,Female,85.0,20.0,70.0,3.0,High,79.4305294238218,2.7,60.0,True
